filename	scene_label
audio/airport-prague-1069-40978-a.wav	indoor
audio/metro_station-helsinki-64-1919-a.wav	indoor
audio/airport-lyon-1101-42703-a.wav	indoor
audio/airport-stockholm-10-433-a.wav	indoor
audio/metro_station-helsinki-65-1946-a.wav	indoor
audio/airport-stockholm-10-436-a.wav	indoor
audio/metro_station-stockholm-84-2281-a.wav	indoor
audio/shopping_mall-prague-1053-41378-a.wav	indoor
audio/metro_station-lyon-1077-44062-a.wav	indoor
audio/shopping_mall-lisbon-1125-41032-a.wav	indoor
audio/airport-paris-9-374-a.wav	indoor
audio/shopping_mall-barcelona-125-3730-a.wav	indoor
audio/metro_station-vienna-88-2405-a.wav	indoor
audio/airport-helsinki-3-118-a.wav	indoor
audio/metro_station-paris-81-2190-a.wav	indoor
audio/shopping_mall-paris-134-4057-a.wav	indoor
audio/airport-paris-9-382-a.wav	indoor
audio/metro_station-lisbon-1020-41574-a.wav	indoor
audio/shopping_mall-stockholm-135-4095-a.wav	indoor
audio/airport-vienna-14-582-a.wav	indoor
audio/shopping_mall-vienna-138-4185-a.wav	indoor
audio/metro_station-vienna-86-2336-a.wav	indoor
audio/metro_station-london-68-2021-a.wav	indoor
audio/metro_station-prague-1130-41653-a.wav	indoor
audio/airport-lyon-1041-41843-a.wav	indoor
audio/airport-london-6-303-a.wav	indoor
audio/metro_station-helsinki-64-1930-a.wav	indoor
audio/airport-barcelona-1-27-a.wav	indoor
audio/airport-barcelona-1-94-a.wav	indoor
audio/shopping_mall-lyon-1043-40896-a.wav	indoor
audio/airport-stockholm-12-491-a.wav	indoor
audio/shopping_mall-helsinki-129-3848-a.wav	indoor
audio/shopping_mall-stockholm-137-4162-a.wav	indoor
audio/shopping_mall-vienna-139-4244-a.wav	indoor
audio/metro_station-prague-1019-42176-a.wav	indoor
audio/airport-vienna-13-538-a.wav	indoor
audio/airport-lyon-1095-41320-a.wav	indoor
audio/shopping_mall-vienna-139-4225-a.wav	indoor
audio/airport-helsinki-4-206-a.wav	indoor
audio/airport-lisbon-1114-43635-a.wav	indoor
audio/shopping_mall-vienna-138-4181-a.wav	indoor
audio/airport-paris-9-402-a.wav	indoor
audio/metro_station-stockholm-84-2252-a.wav	indoor
audio/airport-paris-7-332-a.wav	indoor
