filename	scene_label
audio/airport-helsinki-3-162-a.wav	indoor
audio/metro_station-london-76-2111-a.wav	indoor
audio/shopping_mall-vienna-140-4281-a.wav	indoor
audio/metro_station-stockholm-85-2311-a.wav	indoor
audio/shopping_mall-helsinki-130-3897-a.wav	indoor
audio/metro_station-london-69-2025-a.wav	indoor
audio/shopping_mall-prague-1053-40935-a.wav	indoor
audio/shopping_mall-stockholm-136-4135-a.wav	indoor
audio/airport-prague-1034-40629-a.wav	indoor
audio/airport-helsinki-3-166-a.wav	indoor
audio/airport-paris-7-349-a.wav	indoor
audio/metro_station-paris-81-2198-a.wav	indoor
audio/metro_station-helsinki-65-1943-a.wav	indoor
audio/metro_station-prague-1019-41431-a.wav	indoor
audio/airport-stockholm-12-506-a.wav	indoor
audio/airport-paris-7-323-a.wav	indoor
audio/shopping_mall-lisbon-1137-40943-a.wav	indoor
audio/metro_station-prague-1118-43629-a.wav	indoor
audio/shopping_mall-lisbon-1125-40521-a.wav	indoor
audio/metro_station-paris-82-2212-a.wav	indoor
audio/airport-helsinki-3-113-a.wav	indoor
audio/metro_station-stockholm-84-2249-a.wav	indoor
audio/shopping_mall-barcelona-127-3800-a.wav	indoor
audio/metro_station-paris-79-2150-a.wav	indoor
audio/metro_station-london-72-2055-a.wav	indoor
audio/shopping_mall-london-131-3951-a.wav	indoor
audio/metro_station-barcelona-61-1849-a.wav	indoor
audio/shopping_mall-lisbon-1002-43425-a.wav	indoor
audio/shopping_mall-helsinki-130-3900-a.wav	indoor
audio/shopping_mall-helsinki-129-3862-a.wav	indoor
audio/airport-stockholm-12-498-a.wav	indoor
audio/airport-lyon-1095-40859-a.wav	indoor
audio/metro_station-stockholm-83-2235-a.wav	indoor
audio/airport-barcelona-1-19-a.wav	indoor
audio/airport-paris-8-365-a.wav	indoor
audio/airport-helsinki-3-130-a.wav	indoor
audio/airport-helsinki-4-173-a.wav	indoor
audio/metro_station-london-68-2014-a.wav	indoor
audio/metro_station-london-74-2086-a.wav	indoor
audio/metro_station-prague-1118-43519-a.wav	indoor
audio/shopping_mall-barcelona-127-3786-a.wav	indoor
audio/metro_station-helsinki-65-1955-a.wav	indoor
audio/metro_station-lisbon-1021-40572-a.wav	indoor
audio/airport-barcelona-1-74-a.wav	indoor
audio/metro_station-prague-1019-40831-a.wav	indoor
audio/metro_station-stockholm-83-2231-a.wav	indoor
audio/metro_station-prague-1019-40023-a.wav	indoor
audio/metro_station-helsinki-67-2009-a.wav	indoor
audio/airport-vienna-13-550-a.wav	indoor
audio/metro_station-london-76-2108-a.wav	indoor
audio/airport-helsinki-3-113-a.wav	indoor
audio/airport-stockholm-10-444-a.wav	indoor
audio/airport-helsinki-4-174-a.wav	indoor
audio/metro_station-stockholm-85-2316-a.wav	indoor
audio/shopping_mall-stockholm-137-4145-a.wav	indoor
audio/metro_station-lyon-1028-41782-a.wav	indoor
audio/airport-lisbon-1122-43015-a.wav	indoor
audio/airport-london-6-279-a.wav	indoor
audio/shopping_mall-stockholm-136-4108-a.wav	indoor
audio/metro_station-vienna-87-2370-a.wav	indoor
audio/shopping_mall-paris-133-4012-a.wav	indoor
audio/shopping_mall-lisbon-1002-42805-a.wav	indoor
audio/metro_station-stockholm-83-2225-a.wav	indoor
audio/airport-lyon-1101-40386-a.wav	indoor
audio/metro_station-london-69-2030-a.wav	indoor
