filename	scene_label
audio/tram-vienna-200-6044-a.wav	transportation
audio/shopping_mall-lyon-1043-42035-a.wav	indoor
audio/park-paris-99-2798-a.wav	outdoor
audio/airport-prague-1069-42168-a.wav	indoor
audio/street_pedestrian-prague-1037-41950-a.wav	outdoor
audio/metro_station-lyon-1028-41782-a.wav	indoor
audio/airport-prague-1069-42974-a.wav	indoor
audio/park-barcelona-91-2507-a.wav	outdoor
audio/bus-prague-1090-43186-a.wav	transportation
audio/airport-london-6-264-a.wav	indoor
audio/metro-london-48-1498-a.wav	transportation
audio/street_pedestrian-paris-153-4632-a.wav	outdoor
audio/metro-london-46-1376-a.wav	transportation
audio/shopping_mall-lisbon-1137-43432-a.wav	indoor
audio/street_pedestrian-stockholm-155-4713-a.wav	outdoor
audio/shopping_mall-lisbon-1137-43324-a.wav	indoor
audio/tram-helsinki-184-5723-a.wav	transportation
audio/park-stockholm-101-2874-a.wav	outdoor
audio/airport-barcelona-1-44-a.wav	indoor
audio/shopping_mall-stockholm-136-4113-a.wav	indoor
audio/shopping_mall-lisbon-1137-42344-a.wav	indoor
audio/street_pedestrian-stockholm-156-4727-a.wav	outdoor
audio/street_pedestrian-vienna-160-4882-a.wav	outdoor
audio/metro-paris-54-1598-a.wav	transportation
audio/tram-vienna-200-6049-a.wav	transportation
audio/bus-paris-27-937-a.wav	transportation
audio/public_square-helsinki-110-3187-a.wav	outdoor
audio/public_square-prague-1111-40293-a.wav	outdoor
audio/bus-vienna-39-1153-a.wav	transportation
audio/tram-prague-1086-40276-a.wav	transportation
audio/airport-paris-7-342-a.wav	indoor
audio/bus-london-21-817-a.wav	transportation
audio/airport-stockholm-10-419-a.wav	indoor
audio/metro-paris-52-1546-a.wav	transportation
audio/metro_station-london-76-2113-a.wav	indoor
audio/bus-stockholm-37-1111-a.wav	transportation
audio/public_square-vienna-123-3659-a.wav	outdoor
audio/airport-paris-8-366-a.wav	indoor
audio/street_traffic-vienna-176-5415-a.wav	outdoor
audio/street_traffic-lisbon-1067-40426-a.wav	outdoor
audio/street_traffic-barcelona-162-4968-a.wav	outdoor
audio/street_traffic-vienna-178-5491-a.wav	outdoor
audio/tram-barcelona-179-5554-a.wav	transportation
